CODMES|CODDOC|PUESTO|PERFIL|PROPUESTA
202510|00000001|BUSINESS ANALYST 2|09. Analista|N3
202510|00000002|SUPERVISOR CONTROVERSIAS|09. Analista|N3
202510|00000003|ASISTENTE DE EXPERIENCIA IBK|09. Analista|N3
202510|00000004|JEFE DE GESTION RIESGO DE CREDITO|06. Jefe|N4
202510|00000005|ASISTENTE DE EXPERIENCIA IBK|09. Analista|N3
202510|00000006|GERENTE TIENDA IB 2 LIMA|07. Gerente de Tienda|N3
202510|00000007|ANALISTA DE SEGURIDAD|09. Analista|N3
202510|00000008|ANALISTA CONTROL GESTION|09. Analista|N3
202510|00000009|AUDITOR SENIOR|09. Analista|N3
202510|00000010|ASISTENTE DE EXPERIENCIA IBK|09. Analista|N3
202510|00000011|AUDITOR SENIOR|09. Analista|N3
202510|00000012|GERENTE TIENDA IB 3 LIMA|07. Gerente de Tienda|N3
202510|00000013|ASISTENTE DE EXPERIENCIA IBK|09. Analista|N3
202510|00000014|COORDINADOR DE EXPERIENCIA IBK|09. Analista|N3
202510|00000015|ANALISTA SR DE CUMPLIMIENTO|09. Analista|N3
202510|00000016|ASISTENTE OPERACIONES I|10. Asistente/Auxiliar|N3
202510|00000017|JEFE DE CONTRALORIA Y SEGUIMIENTO S2|06. Jefe|N4
202510|00000018|GERENTE ASISTENTE 2 TDA PROVINCIAS|10. Asistente/Auxiliar|N3
202510|00000019|GERENTE TIENDA IB 2 LIMA|07. Gerente de Tienda|N3
202510|00000020|LEAD CUSTOMER DATA PROCESS|06. Jefe|N4
202510|00000021|ASISTENTE OPERACIONES I|10. Asistente/Auxiliar|N3
202510|00000022|SOFTWARE ENGINEER 2|09. Analista|N3
202510|00000023|SOFTWARE ENGINEER 2|09. Analista|N3
202510|00000024|SOFTWARE ENGINEER 2|09. Analista|N3
202510|00000025|PRINCIPAL ENGINEER|08. Experto|N4
202510|00000026|PRINCIPAL ENGINEER|08. Experto|N4
202510|00000027|PRINCIPAL ENGINEER|08. Experto|N4
202510|00000028|SOFTWARE ENGINEER 1|09. Analista|N3
202510|00000029|SOFTWARE ENGINEER 1|09. Analista|N3
